,logical_operation,text,text_index,lo_index
0,"('s0', 's0', 's8', 's3')",s0,0,0
1,"('s0', 's0', 's8', 's3')",s0,1,1
2,"('s0', 's0', 's8', 's3')",s8,2,2
3,"('s0', 's0', 's8', 's3')",s3,3,3
4,"('s7', 's3', 's4', 's1')",s7,4,0
5,"('s7', 's3', 's4', 's1')",s3,5,1
6,"('s7', 's3', 's4', 's1')",s4,6,2
7,"('s7', 's3', 's4', 's1')",s1,7,3
8,"('s5', 's7', 's4', 's9', 's8')",s5,8,0
9,"('s5', 's7', 's4', 's9', 's8')",s7,9,1
10,"('s5', 's7', 's4', 's9', 's8')",s4,10,2
11,"('s5', 's7', 's4', 's9', 's8')",s9,11,3
12,"('s5', 's7', 's4', 's9', 's8')",s8,12,4
13,"('s0', 's0', 's8', 's3')",s0,13,0
14,"('s0', 's0', 's8', 's3')",s0,14,1
15,"('s0', 's0', 's8', 's3')",s8,15,2
16,"('s0', 's0', 's8', 's3')",s3,16,3
17,"('s3', 's9', 's6', 's4')",s3,17,0
18,"('s3', 's9', 's6', 's4')",s9,18,1
19,"('s3', 's9', 's6', 's4')",s6,19,2
20,"('s3', 's9', 's6', 's4')",s4,20,3
21,"('s0', 's0', 's8', 's3')",s0,21,0
22,"('s0', 's0', 's8', 's3')",s0,22,1
23,"('s0', 's0', 's8', 's3')",s8,23,2
24,"('s0', 's0', 's8', 's3')",s3,24,3
25,"('s2', 's8', 's5')",s2,25,0
26,"('s2', 's8', 's5')",s8,26,1
27,"('s2', 's8', 's5')",s5,27,2
28,"('s3', 's9', 's6', 's4')",s3,28,0
29,"('s3', 's9', 's6', 's4')",s9,29,1
30,"('s3', 's9', 's6', 's4')",s6,30,2
31,"('s3', 's9', 's6', 's4')",s4,31,3
32,"('s2', 's8', 's5')",s2,32,0
33,"('s2', 's8', 's5')",s8,33,1
34,"('s2', 's8', 's5')",s5,34,2
35,"('s3', 's9', 's6', 's4')",s3,35,0
36,"('s3', 's9', 's6', 's4')",s9,36,1
37,"('s3', 's9', 's6', 's4')",s6,37,2
38,"('s3', 's9', 's6', 's4')",s4,38,3
39,"('s5', 's7', 's4', 's9', 's8')",s5,39,0
40,"('s5', 's7', 's4', 's9', 's8')",s7,40,1
41,"('s5', 's7', 's4', 's9', 's8')",s4,41,2
42,"('s5', 's7', 's4', 's9', 's8')",s9,42,3
43,"('s5', 's7', 's4', 's9', 's8')",s8,43,4
44,"('s2', 's8', 's5')",s2,44,0
45,"('s2', 's8', 's5')",s8,45,1
46,"('s2', 's8', 's5')",s5,46,2
47,"('s3', 's9', 's6', 's4')",s3,47,0
48,"('s3', 's9', 's6', 's4')",s9,48,1
49,"('s3', 's9', 's6', 's4')",s6,49,2
50,"('s3', 's9', 's6', 's4')",s4,50,3
51,"('s0', 's0', 's8', 's3')",s0,51,0
52,"('s0', 's0', 's8', 's3')",s0,52,1
53,"('s0', 's0', 's8', 's3')",s8,53,2
54,"('s0', 's0', 's8', 's3')",s3,54,3
55,"('s7', 's3', 's4', 's1')",s7,55,0
56,"('s7', 's3', 's4', 's1')",s3,56,1
57,"('s7', 's3', 's4', 's1')",s4,57,2
58,"('s7', 's3', 's4', 's1')",s1,58,3
59,"('s5', 's7', 's4', 's9', 's8')",s5,59,0
60,"('s5', 's7', 's4', 's9', 's8')",s7,60,1
61,"('s5', 's7', 's4', 's9', 's8')",s4,61,2
62,"('s5', 's7', 's4', 's9', 's8')",s9,62,3
63,"('s5', 's7', 's4', 's9', 's8')",s8,63,4
64,"('s5', 's7', 's4', 's9', 's8')",s5,64,0
65,"('s5', 's7', 's4', 's9', 's8')",s7,65,1
66,"('s5', 's7', 's4', 's9', 's8')",s4,66,2
67,"('s5', 's7', 's4', 's9', 's8')",s9,67,3
68,"('s5', 's7', 's4', 's9', 's8')",s8,68,4
69,"('s2', 's8', 's5')",s2,69,0
70,"('s2', 's8', 's5')",s8,70,1
71,"('s2', 's8', 's5')",s5,71,2
72,"('s2', 's8', 's5')",s2,72,0
73,"('s2', 's8', 's5')",s8,73,1
74,"('s2', 's8', 's5')",s5,74,2
75,"('s3', 's9', 's6', 's4')",s3,75,0
76,"('s3', 's9', 's6', 's4')",s9,76,1
77,"('s3', 's9', 's6', 's4')",s6,77,2
78,"('s3', 's9', 's6', 's4')",s4,78,3
79,"('s5', 's7', 's4', 's9', 's8')",s5,79,0
80,"('s5', 's7', 's4', 's9', 's8')",s7,80,1
81,"('s5', 's7', 's4', 's9', 's8')",s4,81,2
82,"('s5', 's7', 's4', 's9', 's8')",s9,82,3
83,"('s5', 's7', 's4', 's9', 's8')",s8,83,4
84,"('s2', 's8', 's5')",s2,84,0
85,"('s2', 's8', 's5')",s8,85,1
86,"('s2', 's8', 's5')",s5,86,2
87,"('s3', 's9', 's6', 's4')",s3,87,0
88,"('s3', 's9', 's6', 's4')",s9,88,1
89,"('s3', 's9', 's6', 's4')",s6,89,2
90,"('s3', 's9', 's6', 's4')",s4,90,3
91,"('s2', 's8', 's5')",s2,91,0
92,"('s2', 's8', 's5')",s8,92,1
93,"('s2', 's8', 's5')",s5,93,2
94,"('s5', 's7', 's4', 's9', 's8')",s5,94,0
95,"('s5', 's7', 's4', 's9', 's8')",s7,95,1
96,"('s5', 's7', 's4', 's9', 's8')",s4,96,2
97,"('s5', 's7', 's4', 's9', 's8')",s9,97,3
98,"('s5', 's7', 's4', 's9', 's8')",s8,98,4
99,"('s3', 's9', 's6', 's4')",s3,99,0
100,"('s3', 's9', 's6', 's4')",s9,100,1
101,"('s3', 's9', 's6', 's4')",s6,101,2
102,"('s3', 's9', 's6', 's4')",s4,102,3
103,"('s0', 's0', 's8', 's3')",s0,103,0
104,"('s0', 's0', 's8', 's3')",s0,104,1
105,"('s0', 's0', 's8', 's3')",s8,105,2
106,"('s0', 's0', 's8', 's3')",s3,106,3
107,"('s0', 's0', 's8', 's3')",s0,107,0
108,"('s0', 's0', 's8', 's3')",s0,108,1
109,"('s0', 's0', 's8', 's3')",s8,109,2
110,"('s0', 's0', 's8', 's3')",s3,110,3
111,"('s3', 's9', 's6', 's4')",s3,111,0
112,"('s3', 's9', 's6', 's4')",s9,112,1
113,"('s3', 's9', 's6', 's4')",s6,113,2
114,"('s3', 's9', 's6', 's4')",s4,114,3
115,"('s0', 's0', 's8', 's3')",s0,115,0
116,"('s0', 's0', 's8', 's3')",s0,116,1
117,"('s0', 's0', 's8', 's3')",s8,117,2
118,"('s0', 's0', 's8', 's3')",s3,118,3
119,"('s0', 's0', 's8', 's3')",s0,119,0
120,"('s0', 's0', 's8', 's3')",s0,120,1
121,"('s0', 's0', 's8', 's3')",s8,121,2
122,"('s0', 's0', 's8', 's3')",s3,122,3
123,"('s5', 's7', 's4', 's9', 's8')",s5,123,0
124,"('s5', 's7', 's4', 's9', 's8')",s7,124,1
125,"('s5', 's7', 's4', 's9', 's8')",s4,125,2
126,"('s5', 's7', 's4', 's9', 's8')",s9,126,3
127,"('s5', 's7', 's4', 's9', 's8')",s8,127,4
128,"('s5', 's7', 's4', 's9', 's8')",s5,128,0
129,"('s5', 's7', 's4', 's9', 's8')",s7,129,1
130,"('s5', 's7', 's4', 's9', 's8')",s4,130,2
131,"('s5', 's7', 's4', 's9', 's8')",s9,131,3
132,"('s5', 's7', 's4', 's9', 's8')",s8,132,4
133,"('s5', 's7', 's4', 's9', 's8')",s5,133,0
134,"('s5', 's7', 's4', 's9', 's8')",s7,134,1
135,"('s5', 's7', 's4', 's9', 's8')",s4,135,2
136,"('s5', 's7', 's4', 's9', 's8')",s9,136,3
137,"('s5', 's7', 's4', 's9', 's8')",s8,137,4
138,"('s7', 's3', 's4', 's1')",s7,138,0
139,"('s7', 's3', 's4', 's1')",s3,139,1
140,"('s7', 's3', 's4', 's1')",s4,140,2
141,"('s7', 's3', 's4', 's1')",s1,141,3
142,"('s3', 's9', 's6', 's4')",s3,142,0
143,"('s3', 's9', 's6', 's4')",s9,143,1
144,"('s3', 's9', 's6', 's4')",s6,144,2
145,"('s3', 's9', 's6', 's4')",s4,145,3
146,"('s2', 's8', 's5')",s2,146,0
147,"('s2', 's8', 's5')",s8,147,1
148,"('s2', 's8', 's5')",s5,148,2
149,"('s5', 's7', 's4', 's9', 's8')",s5,149,0
150,"('s5', 's7', 's4', 's9', 's8')",s7,150,1
151,"('s5', 's7', 's4', 's9', 's8')",s4,151,2
152,"('s5', 's7', 's4', 's9', 's8')",s9,152,3
153,"('s5', 's7', 's4', 's9', 's8')",s8,153,4
154,"('s3', 's9', 's6', 's4')",s3,154,0
155,"('s3', 's9', 's6', 's4')",s9,155,1
156,"('s3', 's9', 's6', 's4')",s6,156,2
157,"('s3', 's9', 's6', 's4')",s4,157,3
158,"('s0', 's0', 's8', 's3')",s0,158,0
159,"('s0', 's0', 's8', 's3')",s0,159,1
160,"('s0', 's0', 's8', 's3')",s8,160,2
161,"('s0', 's0', 's8', 's3')",s3,161,3
162,"('s0', 's0', 's8', 's3')",s0,162,0
163,"('s0', 's0', 's8', 's3')",s0,163,1
164,"('s0', 's0', 's8', 's3')",s8,164,2
165,"('s0', 's0', 's8', 's3')",s3,165,3
166,"('s7', 's3', 's4', 's1')",s7,166,0
167,"('s7', 's3', 's4', 's1')",s3,167,1
168,"('s7', 's3', 's4', 's1')",s4,168,2
169,"('s7', 's3', 's4', 's1')",s1,169,3
170,"('s5', 's7', 's4', 's9', 's8')",s5,170,0
171,"('s5', 's7', 's4', 's9', 's8')",s7,171,1
172,"('s5', 's7', 's4', 's9', 's8')",s4,172,2
173,"('s5', 's7', 's4', 's9', 's8')",s9,173,3
174,"('s5', 's7', 's4', 's9', 's8')",s8,174,4
175,"('s7', 's3', 's4', 's1')",s7,175,0
176,"('s7', 's3', 's4', 's1')",s3,176,1
177,"('s7', 's3', 's4', 's1')",s4,177,2
178,"('s7', 's3', 's4', 's1')",s1,178,3
179,"('s0', 's0', 's8', 's3')",s0,179,0
180,"('s0', 's0', 's8', 's3')",s0,180,1
181,"('s0', 's0', 's8', 's3')",s8,181,2
182,"('s0', 's0', 's8', 's3')",s3,182,3
183,"('s0', 's0', 's8', 's3')",s0,183,0
184,"('s0', 's0', 's8', 's3')",s0,184,1
185,"('s0', 's0', 's8', 's3')",s8,185,2
186,"('s0', 's0', 's8', 's3')",s3,186,3
187,"('s0', 's0', 's8', 's3')",s0,187,0
188,"('s0', 's0', 's8', 's3')",s0,188,1
189,"('s0', 's0', 's8', 's3')",s8,189,2
190,"('s0', 's0', 's8', 's3')",s3,190,3
191,"('s5', 's7', 's4', 's9', 's8')",s5,191,0
192,"('s5', 's7', 's4', 's9', 's8')",s7,192,1
193,"('s5', 's7', 's4', 's9', 's8')",s4,193,2
194,"('s5', 's7', 's4', 's9', 's8')",s9,194,3
195,"('s5', 's7', 's4', 's9', 's8')",s8,195,4
196,"('s0', 's0', 's8', 's3')",s0,196,0
197,"('s0', 's0', 's8', 's3')",s0,197,1
198,"('s0', 's0', 's8', 's3')",s8,198,2
199,"('s0', 's0', 's8', 's3')",s3,199,3
200,"('s0', 's0', 's8', 's3')",s0,200,0
201,"('s0', 's0', 's8', 's3')",s0,201,1
202,"('s0', 's0', 's8', 's3')",s8,202,2
203,"('s0', 's0', 's8', 's3')",s3,203,3
204,"('s7', 's3', 's4', 's1')",s7,204,0
205,"('s7', 's3', 's4', 's1')",s3,205,1
206,"('s7', 's3', 's4', 's1')",s4,206,2
207,"('s7', 's3', 's4', 's1')",s1,207,3
208,"('s7', 's3', 's4', 's1')",s7,208,0
209,"('s7', 's3', 's4', 's1')",s3,209,1
210,"('s7', 's3', 's4', 's1')",s4,210,2
211,"('s7', 's3', 's4', 's1')",s1,211,3
212,"('s7', 's3', 's4', 's1')",s7,212,0
213,"('s7', 's3', 's4', 's1')",s3,213,1
214,"('s7', 's3', 's4', 's1')",s4,214,2
215,"('s7', 's3', 's4', 's1')",s1,215,3
216,"('s0', 's0', 's8', 's3')",s0,216,0
217,"('s0', 's0', 's8', 's3')",s0,217,1
218,"('s0', 's0', 's8', 's3')",s8,218,2
219,"('s0', 's0', 's8', 's3')",s3,219,3
220,"('s5', 's7', 's4', 's9', 's8')",s5,220,0
221,"('s5', 's7', 's4', 's9', 's8')",s7,221,1
222,"('s5', 's7', 's4', 's9', 's8')",s4,222,2
223,"('s5', 's7', 's4', 's9', 's8')",s9,223,3
224,"('s5', 's7', 's4', 's9', 's8')",s8,224,4
225,"('s0', 's0', 's8', 's3')",s0,225,0
226,"('s0', 's0', 's8', 's3')",s0,226,1
227,"('s0', 's0', 's8', 's3')",s8,227,2
228,"('s0', 's0', 's8', 's3')",s3,228,3
229,"('s0', 's0', 's8', 's3')",s0,229,0
230,"('s0', 's0', 's8', 's3')",s0,230,1
231,"('s0', 's0', 's8', 's3')",s8,231,2
232,"('s0', 's0', 's8', 's3')",s3,232,3
233,"('s5', 's7', 's4', 's9', 's8')",s5,233,0
234,"('s5', 's7', 's4', 's9', 's8')",s7,234,1
235,"('s5', 's7', 's4', 's9', 's8')",s4,235,2
236,"('s5', 's7', 's4', 's9', 's8')",s9,236,3
237,"('s5', 's7', 's4', 's9', 's8')",s8,237,4
238,"('s0', 's0', 's8', 's3')",s0,238,0
239,"('s0', 's0', 's8', 's3')",s0,239,1
240,"('s0', 's0', 's8', 's3')",s8,240,2
241,"('s0', 's0', 's8', 's3')",s3,241,3
242,"('s5', 's7', 's4', 's9', 's8')",s5,242,0
243,"('s5', 's7', 's4', 's9', 's8')",s7,243,1
244,"('s5', 's7', 's4', 's9', 's8')",s4,244,2
245,"('s5', 's7', 's4', 's9', 's8')",s9,245,3
246,"('s5', 's7', 's4', 's9', 's8')",s8,246,4
247,"('s2', 's8', 's5')",s2,247,0
248,"('s2', 's8', 's5')",s8,248,1
249,"('s2', 's8', 's5')",s5,249,2
250,"('s3', 's9', 's6', 's4')",s3,250,0
251,"('s3', 's9', 's6', 's4')",s9,251,1
252,"('s3', 's9', 's6', 's4')",s6,252,2
253,"('s3', 's9', 's6', 's4')",s4,253,3
254,"('s3', 's9', 's6', 's4')",s3,254,0
255,"('s3', 's9', 's6', 's4')",s9,255,1
256,"('s3', 's9', 's6', 's4')",s6,256,2
257,"('s3', 's9', 's6', 's4')",s4,257,3
258,"('s5', 's7', 's4', 's9', 's8')",s5,258,0
259,"('s5', 's7', 's4', 's9', 's8')",s7,259,1
260,"('s5', 's7', 's4', 's9', 's8')",s4,260,2
261,"('s5', 's7', 's4', 's9', 's8')",s9,261,3
262,"('s5', 's7', 's4', 's9', 's8')",s8,262,4
263,"('s0', 's0', 's8', 's3')",s0,263,0
264,"('s0', 's0', 's8', 's3')",s0,264,1
265,"('s0', 's0', 's8', 's3')",s8,265,2
266,"('s0', 's0', 's8', 's3')",s3,266,3
267,"('s0', 's0', 's8', 's3')",s0,267,0
268,"('s0', 's0', 's8', 's3')",s0,268,1
269,"('s0', 's0', 's8', 's3')",s8,269,2
270,"('s0', 's0', 's8', 's3')",s3,270,3
271,"('s7', 's3', 's4', 's1')",s7,271,0
272,"('s7', 's3', 's4', 's1')",s3,272,1
273,"('s7', 's3', 's4', 's1')",s4,273,2
274,"('s7', 's3', 's4', 's1')",s1,274,3
275,"('s0', 's0', 's8', 's3')",s0,275,0
276,"('s0', 's0', 's8', 's3')",s0,276,1
277,"('s0', 's0', 's8', 's3')",s8,277,2
278,"('s0', 's0', 's8', 's3')",s3,278,3
279,"('s0', 's0', 's8', 's3')",s0,279,0
280,"('s0', 's0', 's8', 's3')",s0,280,1
281,"('s0', 's0', 's8', 's3')",s8,281,2
282,"('s0', 's0', 's8', 's3')",s3,282,3
283,"('s3', 's9', 's6', 's4')",s3,283,0
284,"('s3', 's9', 's6', 's4')",s9,284,1
285,"('s3', 's9', 's6', 's4')",s6,285,2
286,"('s3', 's9', 's6', 's4')",s4,286,3
287,"('s7', 's3', 's4', 's1')",s7,287,0
288,"('s7', 's3', 's4', 's1')",s3,288,1
289,"('s7', 's3', 's4', 's1')",s4,289,2
290,"('s7', 's3', 's4', 's1')",s1,290,3
291,"('s3', 's9', 's6', 's4')",s3,291,0
