,logical_operation,cnt,percentage,user_id
28,"('s1', 's29', 's5', 's16', 's0')",937,0.02230952380952381,user_1
26,"('s11', 's22', 's6', 's2')",905,0.021547619047619048,user_1
5,"('s11', 's6', 's30', 's15', 's24', 's44')",1351,0.03216666666666667,user_1
15,"('s14', 's48', 's10', 's24')",1818,0.04328571428571429,user_1
23,"('s16', 's9', 's49', 's17', 's43')",924,0.022,user_1
6,"('s17', 's28', 's7')",1860,0.04428571428571428,user_1
7,"('s17', 's37', 's36', 's1', 's44', 's8')",1848,0.044,user_1
30,"('s20', 's8', 's15')",18,0.00042857142857142855,user_1
21,"('s22', 's21', 's25', 's9', 's44', 's32')",1330,0.03166666666666667,user_1
33,"('s23', 's30')",12,0.00028571428571428574,user_1
9,"('s25', 's21', 's4')",926,0.02204761904761905,user_1
17,"('s27', 's38', 's15')",1390,0.033095238095238094,user_1
22,"('s27', 's40', 's33', 's8', 's15')",900,0.02142857142857143,user_1
14,"('s3', 's36', 's49', 's1', 's19')",1397,0.03326190476190476,user_1
10,"('s34', 's44', 's12', 's2', 's26', 's42')",976,0.023238095238095238,user_1
25,"('s36', 's33', 's46')",944,0.022476190476190476,user_1
29,"('s37', 's16', 's28')",920,0.021904761904761906,user_1
31,"('s37', 's22', 's31', 's1', 's7')",271,0.0064523809523809525,user_1
8,"('s39', 's35', 's41', 's36', 's22', 's48')",1782,0.04242857142857143,user_1
18,"('s4', 's15', 's49')",1845,0.04392857142857143,user_1
27,"('s4', 's49', 's17')",935,0.02226190476190476,user_1
3,"('s40', 's19', 's10')",1777,0.04230952380952381,user_1
1,"('s42', 's1', 's4', 's40', 's16')",1914,0.04557142857142857,user_1
13,"('s42', 's22', 's4', 's16', 's2')",1829,0.04354761904761905,user_1
12,"('s42', 's5', 's18')",1907,0.045404761904761906,user_1
2,"('s49', 's26', 's12', 's33')",1343,0.03197619047619048,user_1
4,"('s6', 's2', 's21', 's25', 's14', 's19')",1382,0.0329047619047619,user_1
16,"('s6', 's27', 's32')",1351,0.03216666666666667,user_1
20,"('s6', 's46', 's11', 's22')",1428,0.034,user_1
19,"('s7', 's30', 's12', 's28', 's28')",1785,0.0425,user_1
11,"('s7', 's44', 's23', 's11')",1393,0.033166666666666664,user_1
24,"('s7', 's5', 's41')",1448,0.03447619047619047,user_1
0,"('s8', 's29', 's25', 's46')",895,0.02130952380952381,user_1
32,"('s9', 's44', 's27')",259,0.006166666666666667,user_1
